Data_Rebalanceamento,Data_Aplicacao,Tempo_Segundos
2023-05-29,2023-05-30,0.025416135787963867
2023-05-30,2023-05-31,0.02517533302307129
2023-05-31,2023-06-01,0.025098562240600586
2023-06-01,2023-06-02,0.025066137313842773
2023-06-02,2023-06-05,0.027135372161865234
2023-06-05,2023-06-06,0.03194832801818848
2023-06-06,2023-06-07,0.024715423583984375
2023-06-07,2023-06-09,0.024832487106323242
2023-06-09,2023-06-12,0.024767637252807617
2023-06-12,2023-06-13,0.02480006217956543
2023-06-13,2023-06-14,0.025346994400024414
2023-06-14,2023-06-15,0.025110244750976562
2023-06-15,2023-06-16,0.025328636169433594
2023-06-16,2023-06-19,0.024656057357788086
2023-06-19,2023-06-20,0.024613142013549805
2023-06-20,2023-06-21,0.02496170997619629
2023-06-21,2023-06-22,0.025118112564086914
2023-06-22,2023-06-23,0.023970365524291992
2023-06-23,2023-06-26,0.022797107696533203
2023-06-26,2023-06-27,0.023061037063598633
2023-06-27,2023-06-28,0.02347254753112793
2023-06-28,2023-06-29,0.023096561431884766
2023-06-29,2023-06-30,0.02402472496032715
2023-06-30,2023-07-03,0.02349400520324707
2023-07-03,2023-07-04,0.023157596588134766
2023-07-04,2023-07-05,0.023772478103637695
2023-07-05,2023-07-06,0.02470231056213379
2023-07-06,2023-07-07,0.0235135555267334
2023-07-07,2023-07-10,0.02389049530029297
2023-07-10,2023-07-11,0.024085283279418945
2023-07-11,2023-07-12,0.04348492622375488
2023-07-12,2023-07-13,0.024612903594970703
2023-07-13,2023-07-14,0.02412247657775879
2023-07-14,2023-07-17,0.02463388442993164
2023-07-17,2023-07-18,0.024007320404052734
2023-07-18,2023-07-19,0.02417898178100586
2023-07-19,2023-07-20,0.02441239356994629
2023-07-20,2023-07-21,0.02422165870666504
2023-07-21,2023-07-24,0.024007558822631836
2023-07-24,2023-07-25,0.024769306182861328
2023-07-25,2023-07-26,0.04259300231933594
2023-07-26,2023-07-27,0.026129484176635742
2023-07-27,2023-07-28,0.027420520782470703
2023-07-28,2023-07-31,0.025855064392089844
2023-07-31,2023-08-01,0.02615642547607422
2023-08-01,2023-08-02,0.02582383155822754
2023-08-02,2023-08-03,0.02712416648864746
2023-08-03,2023-08-04,0.025694847106933594
2023-08-04,2023-08-07,0.02590465545654297
2023-08-07,2023-08-08,0.025876522064208984
2023-08-08,2023-08-09,0.04432201385498047
2023-08-09,2023-08-10,0.026842832565307617
2023-08-10,2023-08-11,0.026162147521972656
2023-08-11,2023-08-14,0.02556443214416504
2023-08-14,2023-08-15,0.026214599609375
2023-08-15,2023-08-16,0.029659748077392578
2023-08-16,2023-08-17,0.025829315185546875
2023-08-17,2023-08-18,0.025342226028442383
2023-08-18,2023-08-21,0.026071548461914062
2023-08-21,2023-08-22,0.025984764099121094
2023-08-22,2023-08-23,0.025600433349609375
2023-08-23,2023-08-24,0.025466203689575195
2023-08-24,2023-08-25,0.02566051483154297
2023-08-25,2023-08-28,0.025077104568481445
2023-08-28,2023-08-29,0.024334430694580078
2023-08-29,2023-08-30,0.025277137756347656
2023-08-30,2023-08-31,0.04574394226074219
2023-08-31,2023-09-01,0.025526046752929688
2023-09-01,2023-09-04,0.026324987411499023
2023-09-04,2023-09-05,0.04471945762634277
2023-09-05,2023-09-06,0.026329755783081055
2023-09-06,2023-09-08,0.02651238441467285
2023-09-08,2023-09-11,0.025193452835083008
2023-09-11,2023-09-12,0.025754213333129883
2023-09-12,2023-09-13,0.025233745574951172
2023-09-13,2023-09-14,0.02569890022277832
2023-09-14,2023-09-15,0.025981903076171875
2023-09-15,2023-09-18,0.025725364685058594
2023-09-18,2023-09-19,0.026022911071777344
2023-09-19,2023-09-20,0.026199817657470703
2023-09-20,2023-09-21,0.02538299560546875
2023-09-21,2023-09-22,0.03389739990234375
2023-09-22,2023-09-25,0.025103330612182617
2023-09-25,2023-09-26,0.02556633949279785
2023-09-26,2023-09-27,0.02461409568786621
2023-09-27,2023-09-28,0.025268077850341797
2023-09-28,2023-09-29,0.025104045867919922
2023-09-29,2023-10-02,0.024821043014526367
2023-10-02,2023-10-03,0.024974584579467773
2023-10-03,2023-10-04,0.025809288024902344
2023-10-04,2023-10-05,0.025574207305908203
2023-10-05,2023-10-06,0.024798154830932617
2023-10-06,2023-10-09,0.02504873275756836
2023-10-09,2023-10-10,0.045575618743896484
2023-10-10,2023-10-11,0.02512216567993164
2023-10-11,2023-10-13,0.025515317916870117
2023-10-13,2023-10-16,0.024558544158935547
2023-10-16,2023-10-17,0.025508403778076172
2023-10-17,2023-10-18,0.025176048278808594
2023-10-18,2023-10-19,0.02661299705505371
2023-10-19,2023-10-20,0.02510380744934082
2023-10-20,2023-10-23,0.025435447692871094
2023-10-23,2023-10-24,0.025687694549560547
2023-10-24,2023-10-25,0.0249178409576416
2023-10-25,2023-10-26,0.025164365768432617
2023-10-26,2023-10-27,0.024794340133666992
2023-10-27,2023-10-30,0.025197267532348633
2023-10-30,2023-10-31,0.04034852981567383
2023-10-31,2023-11-01,0.040287017822265625
2023-11-01,2023-11-03,0.04622077941894531
2023-11-03,2023-11-06,0.04401350021362305
2023-11-06,2023-11-07,0.025970458984375
2023-11-07,2023-11-08,0.025941848754882812
2023-11-08,2023-11-09,0.025477886199951172
2023-11-09,2023-11-10,0.026238441467285156
2023-11-10,2023-11-13,0.02611684799194336
2023-11-13,2023-11-14,0.025868654251098633
2023-11-14,2023-11-16,0.02564525604248047
2023-11-16,2023-11-17,0.025954246520996094
2023-11-17,2023-11-20,0.030527830123901367
2023-11-20,2023-11-21,0.025519847869873047
2023-11-21,2023-11-22,0.02544546127319336
2023-11-22,2023-11-23,0.025513887405395508
2023-11-23,2023-11-24,0.0258176326751709
2023-11-24,2023-11-27,0.025751352310180664
2023-11-27,2023-11-28,0.025500059127807617
2023-11-28,2023-11-29,0.025913000106811523
2023-11-29,2023-11-30,0.0305330753326416
2023-11-30,2023-12-01,0.026331186294555664
2023-12-01,2023-12-04,0.025548934936523438
2023-12-04,2023-12-05,0.026727914810180664
2023-12-05,2023-12-06,0.02569103240966797
2023-12-06,2023-12-07,0.025941848754882812
2023-12-07,2023-12-08,0.026976585388183594
2023-12-08,2023-12-11,0.023827791213989258
2023-12-11,2023-12-12,0.02424001693725586
2023-12-12,2023-12-13,0.02424931526184082
2023-12-13,2023-12-14,0.024573564529418945
2023-12-14,2023-12-15,0.03402996063232422
2023-12-15,2023-12-18,0.024999618530273438
2023-12-18,2023-12-19,0.024419069290161133
2023-12-19,2023-12-20,0.025916099548339844
2023-12-20,2023-12-21,0.02462458610534668
2023-12-21,2023-12-22,0.052660465240478516
2023-12-22,2023-12-26,0.03539538383483887
2023-12-26,2023-12-27,0.026003122329711914
2023-12-27,2023-12-28,0.026436567306518555
2023-12-28,2024-01-02,0.030184268951416016
2024-01-02,2024-01-03,0.026127099990844727
2024-01-03,2024-01-04,0.025733470916748047
2024-01-04,2024-01-05,0.024953126907348633
2024-01-05,2024-01-08,0.0279238224029541
2024-01-08,2024-01-09,0.025820016860961914
2024-01-09,2024-01-10,0.025138139724731445
2024-01-10,2024-01-11,0.024701356887817383
2024-01-11,2024-01-12,0.025051355361938477
2024-01-12,2024-01-15,0.025643587112426758
2024-01-15,2024-01-16,0.02472996711730957
2024-01-16,2024-01-17,0.024971485137939453
2024-01-17,2024-01-18,0.025313138961791992
2024-01-18,2024-01-19,0.02510237693786621
2024-01-19,2024-01-22,0.02495551109313965
2024-01-22,2024-01-23,0.02531576156616211
2024-01-23,2024-01-24,0.024431705474853516
2024-01-24,2024-01-25,0.035913944244384766
2024-01-25,2024-01-26,0.02518773078918457
2024-01-26,2024-01-29,0.0251767635345459
2024-01-29,2024-01-30,0.025032997131347656
2024-01-30,2024-01-31,0.024870872497558594
2024-01-31,2024-02-01,0.02568817138671875
2024-02-01,2024-02-02,0.025314807891845703
2024-02-02,2024-02-05,0.025066852569580078
2024-02-05,2024-02-06,0.025263547897338867
2024-02-06,2024-02-07,0.024837493896484375
2024-02-07,2024-02-08,0.02542734146118164
2024-02-08,2024-02-09,0.025124788284301758
2024-02-09,2024-02-14,0.0247952938079834
2024-02-14,2024-02-15,0.024984121322631836
2024-02-15,2024-02-16,0.024616003036499023
2024-02-16,2024-02-19,0.02410149574279785
2024-02-19,2024-02-20,0.024227380752563477
2024-02-20,2024-02-21,0.0247194766998291
2024-02-21,2024-02-22,0.0247037410736084
2024-02-22,2024-02-23,0.025012493133544922
2024-02-23,2024-02-26,0.024454832077026367
2024-02-26,2024-02-27,0.04604363441467285
2024-02-27,2024-02-28,0.024945974349975586
2024-02-28,2024-02-29,0.026192426681518555
2024-02-29,2024-03-01,0.02512073516845703
2024-03-01,2024-03-04,0.025351524353027344
2024-03-04,2024-03-05,0.02648639678955078
2024-03-05,2024-03-06,0.025958538055419922
2024-03-06,2024-03-07,0.027637481689453125
2024-03-07,2024-03-08,0.02619314193725586
2024-03-08,2024-03-11,0.025784730911254883
2024-03-11,2024-03-12,0.027040958404541016
2024-03-12,2024-03-13,0.0253293514251709
2024-03-13,2024-03-14,0.02577066421508789
2024-03-14,2024-03-15,0.025896549224853516
2024-03-15,2024-03-18,0.02597188949584961
2024-03-18,2024-03-19,0.025940418243408203
2024-03-19,2024-03-20,0.02637195587158203
2024-03-20,2024-03-21,0.028419971466064453
2024-03-21,2024-03-22,0.025983572006225586
2024-03-22,2024-03-25,0.025978565216064453
2024-03-25,2024-03-26,0.02569413185119629
2024-03-26,2024-03-27,0.025649309158325195
2024-03-27,2024-03-28,0.026015758514404297
2024-03-28,2024-04-01,0.025350093841552734
2024-04-01,2024-04-02,0.02574777603149414
2024-04-02,2024-04-03,0.025876283645629883
2024-04-03,2024-04-04,0.026186227798461914
2024-04-04,2024-04-05,0.02536296844482422
2024-04-05,2024-04-08,0.025544404983520508
2024-04-08,2024-04-09,0.026911020278930664
2024-04-09,2024-04-10,0.03577160835266113
2024-04-10,2024-04-11,0.02866840362548828
2024-04-11,2024-04-12,0.04797840118408203
2024-04-12,2024-04-15,0.028571367263793945
2024-04-15,2024-04-16,0.02852487564086914
2024-04-16,2024-04-17,0.025676965713500977
2024-04-17,2024-04-18,0.040538787841796875
2024-04-18,2024-04-19,0.025643587112426758
2024-04-19,2024-04-22,0.03297233581542969
2024-04-22,2024-04-23,0.030357837677001953
2024-04-23,2024-04-24,0.02600264549255371
2024-04-24,2024-04-25,0.018912792205810547
2024-04-25,2024-04-26,0.029915571212768555
2024-04-26,2024-04-29,0.029857158660888672
2024-04-29,2024-04-30,0.029289722442626953
2024-04-30,2024-05-02,0.04534626007080078
2024-05-02,2024-05-03,0.0346221923828125
2024-05-03,2024-05-06,0.030432939529418945
2024-05-06,2024-05-07,0.029711246490478516
2024-05-07,2024-05-08,0.02931523323059082
2024-05-08,2024-05-09,0.029429912567138672
2024-05-09,2024-05-10,0.03020787239074707
2024-05-10,2024-05-13,0.030569791793823242
2024-05-13,2024-05-14,0.029157161712646484
2024-05-14,2024-05-15,0.029068946838378906
2024-05-15,2024-05-16,0.02927255630493164
2024-05-16,2024-05-17,0.029889822006225586
2024-05-17,2024-05-20,0.029866456985473633
2024-05-20,2024-05-21,0.029827356338500977
2024-05-21,2024-05-22,0.029496431350708008
2024-05-22,2024-05-23,0.029727458953857422
2024-05-23,2024-05-24,0.029257535934448242
2024-05-24,2024-05-27,0.02938532829284668
2024-05-27,2024-05-28,0.029489994049072266
2024-05-28,2024-05-29,0.0295565128326416
2024-05-29,2024-05-31,0.029482364654541016
2024-05-31,2024-06-03,0.029715538024902344
2024-06-03,2024-06-04,0.02984905242919922
2024-06-04,2024-06-05,0.02933979034423828
